airport_code,airport_name,city,state,latitude,longitude,elevation_ft,airport_type,has_ourairports_match,ops_segment
ATL,Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",GA,33.6367,-84.428101,1026.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
ATW,Appleton International Airport,"Appleton, WI",WI,44.258515,-88.519,918.0,medium_airport,true,"Regional - volatile delays, delay-prone"
ATY,Watertown Regional Airport,"Watertown, SD",SD,44.91400146,-97.15470123,1749.0,medium_airport,true,
AUS,Austin Bergstrom International Airport,"Austin, TX",TX,30.197535,-97.662015,542.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
AVL,Asheville Regional Airport,"Asheville, NC",NC,35.435488,-82.541853,2165.0,medium_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
AVP,Wilkes-Barre/Scranton International Airport,"Scranton/Wilkes-Barre, PA",PA,41.337064,-75.724232,962.0,medium_airport,true,
AZA,Mesa Gateway Airport,"Phoenix, AZ",AZ,33.3078,-111.654999,1382.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, MI",MI,42.232105,-85.549637,874.0,medium_airport,true,
BDL,Bradley International Airport,"Hartford, CT",CT,41.938555,-72.688016,173.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
BET,Bethel Airport,"Bethel, AK",AK,60.77980042,-161.8379974,126.0,medium_airport,true,
BFF,Western Neb. Rgnl/William B. Heilig Airport,"Scottsbluff, NE",NE,41.87400055,-103.5960007,3967.0,medium_airport,true,
BFL,Meadows Field,"Bakersfield, CA",CA,35.433601,-119.056999,510.0,medium_airport,true,
BGM,Greater Binghamton/Edwin A Link field,"Binghamton, NY",NY,42.20869827,-75.97979736,1636.0,medium_airport,true,
BGR,Bangor International Airport,"Bangor, ME",ME,44.806364,-68.826668,192.0,medium_airport,true,"Regional - volatile delays, delay-prone"
BHM,Birmingham-Shuttlesworth International Airport,"Birmingham, AL",AL,33.562877,-86.750712,650.0,large_airport,true,"Regional - short-haul mix, few NAS delays"
BIH,Eastern Sierra Regional Airport,"Bishop, CA",CA,37.3731,-118.363998,4124.0,medium_airport,true,
BIL,Billings Logan International Airport,"Billings, MT",MT,45.808932,-108.541242,3652.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
BIS,Bismarck Municipal Airport,"Bismarck/Mandan, ND",ND,46.772734,-100.746874,1661.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
BJI,Bemidji Regional Airport,"Bemidji, MN",MN,47.50939941,-94.93370056,1391.0,medium_airport,true,
BLI,Bellingham International Airport,"Bellingham, WA",WA,48.79280090332031,-122.53800201416016,170.0,medium_airport,true,
BLV,Scott AFB/Midamerica Airport,"Belleville, IL",IL,38.5452,-89.835197,459.0,medium_airport,true,
BMI,Central Illinois Regional Airport at Bloomington-Normal,"Bloomington/Normal, IL",IL,40.4771,-88.915901,871.0,medium_airport,true,
BNA,Nashville International Airport,"Nashville, TN",TN,36.1245,-86.6782,599.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
BOI,Boise Air Terminal/Gowen Field,"Boise, ID",ID,43.5644,-116.223,2871.0,large_airport,true,"Regional - few knock-on delays, morning-heavy bank"
BOS,Boston Logan International Airport,"Boston, MA",MA,42.36197,-71.0079,20.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
BPT,Jack Brooks Regional Airport,"Beaumont/Port Arthur, TX",TX,29.9508,-94.020699,15.0,medium_airport,true,
BQK,Brunswick Golden Isles Airport,"Brunswick, GA",GA,31.258801,-81.466499,26.0,medium_airport,true,
BQN,Rafael Hernández International Airport,"Aguadilla, PR",PR,18.4949,-67.129402,237.0,medium_airport,true,
BRD,Brainerd Lakes Regional Airport,"Brainerd, MN",MN,46.402861,-94.129727,1232.0,medium_airport,true,
BRO,Brownsville South Padre Island International Airport,"Brownsville, TX",TX,25.907238,-97.425235,22.0,medium_airport,true,
BRW,Wiley Post Will Rogers Memorial Airport,"Barrow, AK",AK,71.285402,-156.766008,44.0,medium_airport,true,
BTM,Bert Mooney Airport,"Butte, MT",MT,45.95479965209961,-112.49700164794922,5550.0,medium_airport,true,
BTR,Baton Rouge Metropolitan Airport,"Baton Rouge, LA",LA,30.533199,-91.149597,70.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
BTV,Patrick Leahy Burlington International Airport,"Burlington, VT",VT,44.471901,-73.153297,335.0,medium_airport,true,"Regional - volatile delays, delay-prone"
BUF,Buffalo Niagara International Airport,"Buffalo, NY",NY,42.940498,-78.732201,728.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
BUR,Hollywood Burbank/Bob Hope Airport,"Burbank, CA",CA,34.202834,-118.35805,778.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
BWI,Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",MD,39.1754,-76.668297,146.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
BZN,Bozeman Yellowstone International Airport,"Bozeman, MT",MT,45.778853,-111.153711,4473.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
CAE,Columbia Metropolitan Airport,"Columbia, SC",SC,33.938172,-81.123022,236.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
CAK,Akron Canton Regional Airport,"Akron, OH",OH,40.916099548339844,-81.44219970703125,1228.0,medium_airport,true,"Regional - volatile delays, delay-prone"
CDC,Cedar City Regional Airport,"Cedar City, UT",UT,37.70100021362305,-113.0989990234375,5622.0,medium_airport,true,
CDV,Merle K (Mudhole) Smith Airport,"Cordova, AK",AK,60.491798,-145.477997,54.0,medium_airport,true,
CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, TN",TN,35.035301,-85.203796,683.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
CHO,Charlottesville Albemarle Airport,"Charlottesville, VA",VA,38.13859939575195,-78.4529037475586,639.0,medium_airport,true,
CHS,Charleston International Airport,"Charleston, SC",SC,32.896159,-80.038151,46.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
CID,The Eastern Iowa Airport,"Cedar Rapids/Iowa City, IA",IA,41.884701,-91.7108,869.0,medium_airport,true,"Regional - volatile delays, delay-prone"
CIU,Chippewa County International Airport,"Sault Ste. Marie, MI",MI,46.242038,-84.462082,800.0,medium_airport,true,
CKB,North Central West Virginia Airport,"Clarksburg/Fairmont, WV",WV,39.2966,-80.228104,1217.0,medium_airport,true,
CLD,McClellan-Palomar Airport,"Carlsbad, CA",CA,33.1283,-117.279999,331.0,medium_airport,true,
CLE,Cleveland Hopkins International Airport,"Cleveland, OH",OH,41.411701,-81.8498,791.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
CLL,Easterwood Field,"College Station/Bryan, TX",TX,30.5886,-96.3638,320.0,medium_airport,true,
CLT,Charlotte Douglas International Airport,"Charlotte, NC",NC,35.2140007019043,-80.94309997558594,748.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
CMH,John Glenn Columbus International Airport,"Columbus, OH",OH,39.998001,-82.891899,815.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
CMI,University of Illinois Willard Airport,"Champaign/Urbana, IL",IL,40.039819,-88.276249,755.0,medium_airport,true,
CMX,Houghton County Memorial Airport,"Hancock/Houghton, MI",MI,47.168399810791016,-88.48909759521484,1095.0,medium_airport,true,
COD,Yellowstone Regional Airport,"Cody, WY",WY,44.520199,-109.024002,5102.0,medium_airport,true,
COS,City of Colorado Springs Municipal Airport,"Colorado Springs, CO",CO,38.805801,-104.700996,6187.0,large_airport,true,"Regional - few knock-on delays, morning-heavy bank"
COU,Columbia Regional Airport,"Columbia, MO",MO,38.8181,-92.219597,889.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
CPR,Casper-Natrona County International Airport,"Casper, WY",WY,42.907381,-106.461609,5350.0,medium_airport,true,
CRP,Corpus Christi International Airport,"Corpus Christi, TX",TX,27.770399,-97.501198,44.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
CRW,Yeager Airport,"Charleston/Dunbar, WV",WV,38.3731,-81.593201,981.0,medium_airport,true,
CSG,Columbus Airport,"Columbus, GA",GA,32.516415,-84.939602,397.0,medium_airport,true,
CVG,Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",KY,39.048801,-84.667801,896.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
CWA,Central Wisconsin Airport,"Mosinee, WI",WI,44.777448,-89.670238,1277.0,medium_airport,true,
CYS,Cheyenne Regional Jerry Olson Field,"Cheyenne, WY",WY,41.155701,-104.811997,6159.0,medium_airport,true,
DAB,Daytona Beach International Airport,"Daytona Beach, FL",FL,29.18255,-81.059464,34.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
DAL,Dallas Love Field,"Dallas, TX",TX,32.844776,-96.847653,487.0,large_airport,true,"Mid-size - stable delays, quick turn"
DAY,James M. Cox Dayton International Airport,"Dayton, OH",OH,39.902401,-84.219398,1009.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
DCA,Ronald Reagan Washington National Airport,"Washington, DC",VA,38.8521,-77.037697,15.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
DDC,Dodge City Regional Airport,"Dodge City, KS",KS,37.76340103149414,-99.9655990600586,2594.0,medium_airport,true,
DEC,Decatur Airport,"Decatur, IL",IL,39.834598541259766,-88.8656997680664,682.0,medium_airport,true,
DEN,Denver International Airport,"Denver, CO",CO,39.860027,-104.673792,5431.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
DFW,Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",TX,32.896801,-97.038002,607.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
DHN,Dothan Regional Airport,"Dothan, AL",AL,31.321300506591797,-85.44960021972656,401.0,medium_airport,true,
DIK,Dickinson Theodore Roosevelt Regional Airport,"Dickinson, ND",ND,46.797533,-102.801905,2592.0,medium_airport,true,
DLG,Dillingham Airport,"Dillingham, AK",AK,59.04470062,-158.5050049,81.0,medium_airport,true,
DLH,Duluth International Airport,"Duluth, MN",MN,46.841873,-92.198746,1428.0,medium_airport,true,
DRO,Durango La Plata County Airport,"Durango, CO",CO,37.151501,-107.753998,6685.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
DSM,Des Moines International Airport,"Des Moines, IA",IA,41.534027,-93.656719,958.0,large_airport,true,"Regional - volatile delays, delay-prone"
DTW,Detroit Metropolitan Wayne County Airport,"Detroit, MI",MI,42.21377,-83.353786,645.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
DVL,Devils Lake Regional Airport,"Devils Lake, ND",ND,48.115454,-98.908796,1456.0,medium_airport,true,
EAR,Kearney Regional Airport,"Kearney, NE",NE,40.727001,-99.006798,2131.0,medium_airport,true,
EAU,Chippewa Valley Regional Airport,"Eau Claire, WI",WI,44.86579895019531,-91.48429870605469,913.0,medium_airport,true,
ECP,Northwest Florida Beaches International Airport,"Panama City, FL",FL,30.357106,-85.795414,69.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
EGE,Eagle County Regional Airport,"Eagle, CO",CO,39.64260101,-106.9179993,6548.0,medium_airport,true,"Regional - volatile delays, delay-prone"
EKO,Elko Regional Airport,"Elko, NV",NV,40.82490158081055,-115.79199981689453,5140.0,medium_airport,true,
ELM,Elmira Corning Regional Airport,"Elmira/Corning, NY",NY,42.1599006652832,-76.8916015625,954.0,medium_airport,true,
ELP,El Paso International Airport,"El Paso, TX",TX,31.809908,-106.375607,3959.0,large_airport,true,"Regional - short-haul mix, few NAS delays"
ERI,Erie International Tom Ridge Field,"Erie, PA",PA,42.083127,-80.173867,732.0,medium_airport,true,
ESC,Delta County Airport,"Escanaba, MI",MI,45.723199,-87.088623,609.0,medium_airport,true,
EUG,Eugene Airport,"Eugene, OR",OR,44.124599,-123.211998,374.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
EVV,Evansville Regional Airport,"Evansville, IN",IN,38.0369987488,-87.5324020386,418.0,medium_airport,true,
EWN,Coastal Carolina Regional Airport,"New Bern/Morehead/Beaufort, NC",NC,35.0730018616,-77.04290008539999,18.0,medium_airport,true,
EWR,Newark Liberty International Airport,"Newark, NJ",NJ,40.6894,-74.170545,18.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
EYW,Key West International Airport,"Key West, FL",FL,24.556119,-81.759579,3.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
FAI,Fairbanks International Airport,"Fairbanks, AK",AK,64.815102,-147.856003,439.0,medium_airport,true,"Mid-size - stable delays, quick turn"
FAR,Hector International Airport,"Fargo, ND",ND,46.9207,-96.815804,902.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
FAT,Fresno Yosemite International Airport,"Fresno, CA",CA,36.775767,-119.718018,336.0,large_airport,true,"Regional - few knock-on delays, morning-heavy bank"
FAY,Fayetteville Regional Airport - Grannis Field,"Fayetteville, NC",NC,34.991199,-78.880302,189.0,medium_airport,true,
FCA,Glacier Park International Airport,"Kalispell, MT",MT,48.310501,-114.255997,2977.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
FLG,Flagstaff Pulliam Airport,"Flagstaff, AZ",AZ,35.139757,-111.669826,7014.0,medium_airport,true,
FLL,Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",FL,26.072599,-80.152702,9.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
FMN,Four Corners Regional Airport,"Farmington, NM",NM,36.741199,-108.230003,5506.0,medium_airport,true,
FNT,Bishop International Airport,"Flint, MI",MI,42.969294,-83.743355,782.0,medium_airport,true,"Regional - volatile delays, delay-prone"
FOD,Fort Dodge Regional Airport,"Fort Dodge, IA",IA,42.552624,-94.191237,1156.0,medium_airport,true,
FSD,Sioux Falls Regional Airport,"Sioux Falls, SD",SD,43.585463,-96.741152,1429.0,medium_airport,true,"Regional - volatile delays, delay-prone"
FSM,Fort Smith Regional Airport,"Fort Smith, AR",AR,35.336601,-94.367401,469.0,medium_airport,true,
FWA,Fort Wayne International Airport,"Fort Wayne, IN",IN,40.978896,-85.194465,814.0,medium_airport,true,"Regional - volatile delays, delay-prone"
GCC,Northeast Wyoming Regional Airport,"Gillette, WY",WY,44.3489,-105.539001,4365.0,medium_airport,true,
GCK,Garden City Regional Airport,"Garden City, KS",KS,37.9275016785,-100.723999023,2891.0,medium_airport,true,
GEG,Spokane International Airport,"Spokane, WA",WA,47.6199,-117.533997,2376.0,large_airport,true,"Regional - few knock-on delays, morning-heavy bank"
GFK,Grand Forks International Airport,"Grand Forks, ND",ND,47.949299,-97.176102,845.0,medium_airport,true,
GGG,East Texas Regional Airport,"Longview, TX",TX,32.38399887084961,-94.71150207519531,365.0,medium_airport,true,
GJT,Grand Junction Regional Airport,"Grand Junction, CO",CO,39.126663,-108.529387,4858.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
GNV,Gainesville Regional Airport,"Gainesville, FL",FL,29.6900997162,-82.2717971802,152.0,medium_airport,true,
GPT,Gulfport Biloxi International Airport,"Gulfport/Biloxi, MS",MS,30.405582,-89.069836,28.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
GRB,Austin Straubel International Airport,"Green Bay, WI",WI,44.483459,-88.130805,695.0,medium_airport,true,"Regional - volatile delays, delay-prone"
GRI,Central Nebraska Regional Airport,"Grand Island, NE",NE,40.967498779296875,-98.30960083007812,1847.0,medium_airport,true,
GRK,Killeen Regional Airport / Robert Gray Army Airfield,"Killeen, TX",TX,31.0672,-97.828903,1015.0,medium_airport,true,
GRR,Gerald R. Ford International Airport,"Grand Rapids, MI",MI,42.880798,-85.522797,794.0,large_airport,true,"Regional - volatile delays, delay-prone"
GSO,Piedmont Triad International Airport,"Greensboro/High Point, NC",NC,36.09937,-79.937262,925.0,large_airport,true,"Regional - short-haul mix, few NAS delays"
GSP,Greenville-Spartanburg International Airport,"Greer, SC",SC,34.895699,-82.218903,964.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
GST,Gustavus Airport,"Gustavus, AK",AK,58.4253006,-135.7070007,35.0,medium_airport,true,
GTF,Great Falls International Airport,"Great Falls, MT",MT,47.481998,-111.371002,3680.0,medium_airport,true,
GTR,Golden Triangle Regional Airport,"Columbus, MS",MS,33.450298,-88.5914,264.0,medium_airport,true,
GUC,Gunnison Crested Butte Regional Airport,"Gunnison, CO",CO,38.534672,-106.934566,7680.0,medium_airport,true,
GUF,Jack Edwards National Airport,"Gulf Shores, AL",AL,30.290501,-87.671799,17.0,small_airport,true,
GUM,Antonio B. Won Pat International Airport,"Guam, TT",TT,13.485,144.797282,298.0,large_airport,true,
HDN,Yampa Valley Airport,"Hayden, CO",CO,40.481201,-107.218002,6606.0,medium_airport,true,
HEZ,Natchez–Adams County Airport / Hardy-Anders Field,"Natchez, MS",MS,31.614817,-91.297331,272.0,small_airport,true,
HGR,Hagerstown Regional Richard A Henson Field,"Hagerstown, MD",MD,39.708771,-77.728014,703.0,medium_airport,true,
HHH,Hilton Head Airport,"Hilton Head, SC",SC,32.2244,-80.697502,19.0,medium_airport,true,
HIB,Range Regional Airport,"Hibbing, MN",MN,47.384831,-92.836905,1354.0,medium_airport,true,
HLN,Helena Regional Airport,"Helena, MT",MT,46.6068,-111.983002,3877.0,medium_airport,true,
HNL,Daniel K. Inouye International Airport,"Honolulu, HI",HI,21.318387,-157.92567,13.0,large_airport,true,"Mid-size - stable delays, quick turn"
HOB,Lea County Regional Airport,"Hobbs, NM",NM,32.6875,-103.217003,3661.0,medium_airport,true,
HOU,William P. Hobby Airport,"Houston, TX",TX,29.645336,-95.276812,46.0,large_airport,true,"Mid-size - stable delays, quick turn"
HPN,Westchester County Airport,"White Plains, NY",NY,41.06700134277344,-73.70760345458984,439.0,medium_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
HRL,Valley International Airport,"Harlingen/San Benito, TX",TX,26.228500366210938,-97.65440368652344,36.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
HSV,Huntsville International Airport,"Huntsville, AL",AL,34.636244,-86.774378,629.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
HTS,Tri-State Airport / Milton J. Ferguson Field,"Ashland, WV",WV,38.366699,-82.557999,828.0,medium_airport,true,
HYA,Cape Cod Gateway Airport,"Hyannis, MA",MA,41.6693,-70.280403,54.0,medium_airport,true,
HYS,Hays Regional Airport,"Hays, KS",KS,38.844521,-99.273148,1999.0,medium_airport,true,
IAD,Washington Dulles International Airport,"Washington, DC",VA,38.9445,-77.455803,312.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
IAG,Niagara Falls International Airport,"Niagara Falls, NY",NY,43.1073,-78.946198,589.0,medium_airport,true,
IAH,George Bush Intercontinental Airport,"Houston, TX",TX,29.9844,-95.3414,97.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
ICT,Wichita Dwight D. Eisenhower National Airport,"Wichita, KS",KS,37.650314,-97.428583,1333.0,medium_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
IDA,Idaho Falls Regional Airport,"Idaho Falls, ID",ID,43.514599,-112.070999,4744.0,medium_airport,true,"Regional - few knock-on delays, morning-heavy bank"
ILM,Wilmington International Airport,"Wilmington, NC",NC,34.272345,-77.905117,32.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
IMT,Ford Airport,"Iron Mountain/Kingsfd, MI",MI,45.81911,-88.114557,1182.0,medium_airport,true,
IND,Indianapolis International Airport,"Indianapolis, IN",IN,39.7173,-86.294403,797.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
INL,Falls International Airport,"International Falls, MN",MN,48.566200256347656,-93.4030990600586,1185.0,medium_airport,true,
ISP,Long Island MacArthur Airport,"Islip, NY",NY,40.796324,-73.101703,99.0,medium_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
ITO,Hilo International Airport,"Hilo, HI",HI,19.72135,-155.045428,38.0,medium_airport,true,"Mid-size - stable delays, quick turn"
JAC,Jackson Hole Airport,"Jackson, WY",WY,43.6073,-110.737999,6451.0,medium_airport,true,"Regional - volatile delays, delay-prone"
JAN,Jackson-Medgar Wiley Evers International Airport,"Jackson/Vicksburg, MS",MS,32.311199,-90.075897,346.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
JAX,Jacksonville International Airport,"Jacksonville, FL",FL,30.492469,-81.687813,30.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
JFK,John F. Kennedy International Airport,"New York, NY",NY,40.639447,-73.779317,13.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
JLN,Joplin Regional Airport,"Joplin, MO",MO,37.151798,-94.498299,981.0,medium_airport,true,
JMS,Jamestown Regional Airport,"Jamestown, ND",ND,46.92969894,-98.67819977,1500.0,medium_airport,true,
JNU,Juneau International Airport,"Juneau, AK",AK,58.354935,-134.574416,21.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
JST,John Murtha Johnstown Cambria County Airport,"Johnstown, PA",PA,40.31610107421875,-78.83390045166016,2284.0,medium_airport,true,
KOA,Ellison Onizuka Kona International Airport at Keāhole,"Kona, HI",HI,19.738783,-156.045603,47.0,large_airport,true,"Mid-size - stable delays, quick turn"
KTN,Ketchikan International Airport,"Ketchikan, AK",AK,55.35559845,-131.7140045,89.0,medium_airport,true,
LAF,Purdue University Airport,"Lafayette, IN",IN,40.412875,-86.939363,606.0,medium_airport,true,
LAN,Capital Region International Airport,"Lansing, MI",MI,42.777582,-84.585721,861.0,medium_airport,true,
LAR,Laramie Regional Airport,"Laramie, WY",WY,41.31209945678711,-105.67500305175781,7284.0,medium_airport,true,
LAS,Harry Reid International Airport,"Las Vegas, NV",NV,36.083361,-115.151817,2181.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
LAW,Lawton Fort Sill Regional Airport,"Lawton/Fort Sill, OK",OK,34.567699,-98.416603,1110.0,medium_airport,true,
LAX,Los Angeles International Airport,"Los Angeles, CA",CA,33.942501,-118.407997,125.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
LBB,Lubbock Preston Smith International Airport,"Lubbock, TX",TX,33.663601,-101.822998,3282.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
LBE,Arnold Palmer Regional Airport,"Latrobe, PA",PA,40.275902,-79.4048,1199.0,medium_airport,true,
LBF,North Platte Regional Airport Lee Bird Field,"North Platte, NE",NE,41.12620163,-100.6839981,2777.0,medium_airport,true,
LBL,Liberal Mid-America Regional Airport,"Liberal, KS",KS,37.0442009,-100.9599991,2885.0,medium_airport,true,
LCH,Lake Charles Regional Airport,"Lake Charles, LA",LA,30.126100540161133,-93.22329711914062,15.0,medium_airport,true,
LCK,Rickenbacker International Airport,"Columbus, OH",OH,39.813801,-82.927803,744.0,medium_airport,true,
LEX,Blue Grass Airport,"Lexington, KY",KY,38.035066,-84.606738,979.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
LFT,Lafayette Regional Airport,"Lafayette, LA",LA,30.205299,-91.987602,42.0,medium_airport,true,
LGA,LaGuardia Airport,"New York, NY",NY,40.777199,-73.872597,21.0,large_airport,true,"Major hub - evening-heavy bank, long taxi-out / congested"
LGB,Long Beach International Airport,"Long Beach, CA",CA,33.816523,-118.149891,60.0,large_airport,true,"Mid-size - stable delays, quick turn"
LIH,Lihue Airport,"Lihue, HI",HI,21.974393,-159.337146,153.0,large_airport,true,"Mid-size - stable delays, quick turn"
LIT,Bill & Hillary Clinton National Airport/Adams Field,"Little Rock, AR",AR,34.729222,-92.223591,262.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
LNK,Lincoln Airport,"Lincoln, NE",NE,40.844882,-96.76178,1219.0,medium_airport,true,"Regional - volatile delays, delay-prone"
LNS,Lancaster Airport,"Lancaster, PA",PA,40.121700286865234,-76.29609680175781,403.0,medium_airport,true,
LRD,Laredo International Airport,"Laredo, TX",TX,27.5438,-99.461601,508.0,medium_airport,true,
LSE,La Crosse Regional Airport,"La Crosse, WI",WI,43.879002,-91.256699,655.0,medium_airport,true,
LWB,Greenbrier Valley Airport,"Lewisburg, WV",WV,37.857914,-80.400438,2302.0,medium_airport,true,
LWS,Lewiston Nez Perce County Airport,"Lewiston, ID",ID,46.3745002746582,-117.01499938964844,1442.0,medium_airport,true,
LYH,Lynchburg Regional Airport - Preston Glenn Field,"Lynchburg, VA",VA,37.326698,-79.200401,938.0,medium_airport,true,
MAF,Midland International Air and Space Port,"Midland/Odessa, TX",TX,31.942499,-102.202003,2871.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
MBS,MBS International Airport,"Saginaw/Bay City/Midland, MI",MI,43.533181,-84.083104,668.0,medium_airport,true,
MCI,Kansas City International Airport,"Kansas City, MO",MO,39.301699,-94.713893,1026.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
